ID,Gender,Residence Zone,Education Level,Years of Experience,Desired Salary,Status,Age,Marital Status,Residence Distance,Job Title,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10
E1,Other,Zone D,PhD,Advanced,Low,Interviewing,Middle,Single,Medium,Manufacturing Sales Representative Staff,Critical Thinking,-,Data Visualization,-,-,-,-,-,Creativity,-
E2,Female,Zone I,Master's Degree,Advanced,Medium,Interviewing,Old,Widowed,Far,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E3,Other,Zone D,PhD,Advanced,Medium,Offered,Young,Single,Medium,Financial Analyst Manager,Critical Thinking,-,-,-,Analytical Thinking,-,-,-,Creativity,-
E4,Female,Zone G,High School,Beginner,High,Interviewing,Middle,Divorced,Medium,Manufacturing Techinical Staff,-,-,-,Communication,-,Time Management,Team Work,-,-,Leadership
E5,Female,Zone C,High School,Intermediate,Low,Offered,Old,Married,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E6,Other,Zone C,Master's Degree,Advanced,Medium,Offered,Old,Widowed,Medium,HSE Engineer Manager,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E7,Female,Zone J,Master's Degree,Advanced,High,Interviewing,Old,Divorced,Far,Financial Analyst Manager,Critical Thinking,-,-,-,Analytical Thinking,-,-,-,Creativity,-
E8,Male,Zone B,PhD,Advanced,High,Interviewing,Middle,Divorced,Far,Manufacturing Techinical Manager,-,-,Data Visualization,Communication,-,Time Management,Team Work,Adaptability,Creativity,-
E9,Male,Zone I,Master's Degree,Beginner,High,Offered,Young,Single,Far,Manufacturing Risk Manager,Critical Thinking,-,Data Visualization,-,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E10,Other,Zone J,PhD,Advanced,Low,Offered,Young,Married,Far,Manufacturing Enginner Manager,Critical Thinking,Problem Solving,-,Communication,-,Time Management,-,-,Creativity,-
E11,Other,Zone B,PhD,Advanced,Medium,Interviewing,Old,Married,Far,Chief Executive Officer,Critical Thinking,-,-,Communication,Analytical Thinking,-,-,-,-,Leadership
E12,Male,Zone C,Bachelor's Degree,Intermediate,High,Interviewing,Middle,Divorced,Medium,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E13,Female,Zone C,High School,Intermediate,Low,Interviewing,Old,Widowed,Medium,Manufacturing Enginner Staff,Critical Thinking,Problem Solving,Data Visualization,-,Analytical Thinking,-,Team Work,Adaptability,-,Leadership
E14,Male,Zone B,PhD,Advanced,Medium,Interviewing,Old,Widowed,Far,Material Control Staff,-,-,-,Communication,Analytical Thinking,-,-,-,Creativity,-
E15,Male,Zone D,Bachelor's Degree,Beginner,High,Interviewing,Old,Divorced,Medium,Customer Care Staff,-,-,Data Visualization,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E16,Male,Zone C,PhD,Advanced,Low,Interviewing,Middle,Single,Medium,Public Relations Manager,Critical Thinking,-,Data Visualization,-,-,-,-,Adaptability,-,Leadership
E17,Female,Zone A,Bachelor's Degree,Intermediate,High,Offered,Old,Divorced,Far,Technology Analyst Manager,-,-,Data Visualization,-,Analytical Thinking,Time Management,-,Adaptability,Creativity,Leadership
E18,Male,Zone A,High School,Advanced,Low,Interviewing,Young,Married,Far,Maintenance Technician Staff,-,-,-,-,Analytical Thinking,Time Management,-,-,-,-
E19,Male,Zone D,Master's Degree,Advanced,High,Offered,Middle,Divorced,Medium,HSE Engineer Manager,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,Adaptability,-,-
E20,Male,Zone F,PhD,Beginner,High,Offered,Middle,Widowed,Near,Purchasing Manager,-,Problem Solving,-,Communication,Analytical Thinking,-,Team Work,Adaptability,Creativity,Leadership
E21,Female,Zone F,High School,Advanced,High,Offered,Old,Widowed,Near,Research and Development Enginner Staff,Critical Thinking,Problem Solving,-,Communication,Analytical Thinking,Time Management,Team Work,-,Creativity,-
E22,Male,Zone F,Master's Degree,Intermediate,High,Interviewing,Middle,Married,Near,Financial Analyst Staff,Critical Thinking,-,Data Visualization,-,-,Time Management,Team Work,-,-,Leadership
